FOOD COMMODITY GROUP_x,Food commodity ITEM,Carbon Footprint kg CO2eq/kg or l of food ITEM,Uncertainty    low (L) high (H),Suggested CF value,Food commodity TYPOLOGY_x,Carbon Footprint g CO2eq/g o cc of food TYPOLOGY,Food commodity sub-TYPOLOGY_x,Carbon Footprint g CO2eq/g o cc of food sub-TYPOLOGY,FOOD COMMODITY GROUP_y,Water Footprint liters water/kg o liter of food ITEM,Uncertainty    low  (L)  high (H),Suggested WF value,Food commodity TYPOLOGY_y,Water Footprint cc water/g o cc of food TYPOLOGY,Food commodity sub-TYPOLOGY_y,Water Footprint cc water/g o cc of food sub-TYPOLOGY
CROPS,SESAM SEED,0.88,H,better typology,SEEDS,0.88,-,-,CROPS,9371.0,L,ok item,SEEDS,3087.0,-,-
CROPS,SUNFLOWER SEED,1.16,H,better typology,SEEDS,0.88,-,-,CROPS,3366.0,L,ok item,SEEDS,3087.0,-,-
CROPS,CHILLY,0.8,H,better typology,SPICIES,0.84,-,-,CROPS,7365.0,L,ok item,SPICIES,8280.0,-,-
CROPS,GINGER,0.88,H,better typology,SPICIES,0.84,-,-,CROPS,1657.0,L,ok item,SPICIES,8280.0,-,-
CROPS,POTATO,0.24,L,OK item,STARCHY TUBERS,0.27,-,-,CROPS,554.8,H,better typology,STARCHY TUBERS,555.0,-,-
CROPS,SWEET POTATO,0.27,H,better typology,STARCHY TUBERS,0.27,-,-,CROPS,383.0,L,ok item,STARCHY TUBERS,555.0,-,-
CROPS,CABAGGE,0.23,L,OK item,VEGETABLES OPENFIELD,0.33,GREEN LEAFY VEGETABLES ,0.34,CROPS,280.0,L,ok item,VEGETABLES,336.0,GREEN LEAFY VEGETABLES,280
CROPS,LETTUCE,0.41,L,OK item,VEGETABLES OPENFIELD,0.33,GREEN LEAFY VEGETABLES ,0.34,CROPS,237.0,L,ok item,VEGETABLES,336.0,GREEN LEAFY VEGETABLES,280
CROPS,SPINACH,0.34,L,OK item,VEGETABLES OPENFIELD,0.33,GREEN LEAFY VEGETABLES ,0.34,CROPS,292.0,L,ok item,VEGETABLES,336.0,GREEN LEAFY VEGETABLES,280
CROPS,CARROT,0.24,L,OK item,VEGETABLES OPENFIELD,0.33,ROOTS & BULBS ,0.25,CROPS,195.0,L,ok item,VEGETABLES,336.0,ROOTS & BULBS,272
CROPS,GARLIC,0.71,H,better subtypology,VEGETABLES OPENFIELD,0.33,ROOTS & BULBS ,0.25,CROPS,589.0,L,ok item,VEGETABLES,336.0,ROOTS & BULBS,272
CROPS,ONION,0.22,L,OK item,VEGETABLES OPENFIELD,0.33,ROOTS & BULBS ,0.25,CROPS,290.0,L,ok item,VEGETABLES,336.0,ROOTS & BULBS,272
CROPS,TURNIP,0.35,H,better subtypology,VEGETABLES OPENFIELD,0.33,ROOTS & BULBS ,0.25,CROPS,195.0,L,ok item,VEGETABLES,336.0,ROOTS & BULBS,272
CROPS,ARTICHOKE,0.33,H,better typol. or subtypol.,VEGETABLES OPENFIELD,0.33,"VEGETABLES (fruits, steems, flowers)",0.33,CROPS,818.0,L,ok item,VEGETABLES,336.0,"VEGETABLES (fruits, steems, flowers)",362
CROPS,BROCCOLI,0.57,L,OK item,VEGETABLES OPENFIELD,0.33,"VEGETABLES (fruits, steems, flowers)",0.33,CROPS,325.0,H,better typology,VEGETABLES,336.0,"VEGETABLES (fruits, steems, flowers)",362
